Lash West Indian,807 Burke Ave, Bronx,NY,40.8713655,-73.8636776,restaurant
Richie Rich,772 Burke Ave, Bronx,NY,40.8712575,-73.8665861,restaurant
La Estrella Caribena,744 Burke Ave, Bronx,NY,40.8711433,-73.8671288,restaurant
Ferozas Roti,712 Burke Ave, Bronx,NY,40.8714455,-73.8665962,restaurant
